,0
2025-04-24 00:00:00+02:00,80.82
2025-04-24 01:00:00+02:00,67.62
2025-04-24 02:00:00+02:00,70.52
2025-04-24 03:00:00+02:00,69.2
2025-04-24 04:00:00+02:00,60.63
2025-04-24 05:00:00+02:00,67.54
2025-04-24 06:00:00+02:00,93.51
2025-04-24 07:00:00+02:00,104.01
2025-04-24 08:00:00+02:00,114.63
2025-04-24 09:00:00+02:00,89.0
2025-04-24 10:00:00+02:00,70.92
2025-04-24 11:00:00+02:00,82.74
2025-04-24 12:00:00+02:00,78.89
2025-04-24 13:00:00+02:00,69.13
2025-04-24 14:00:00+02:00,60.68
2025-04-24 15:00:00+02:00,44.0
2025-04-24 16:00:00+02:00,34.75
2025-04-24 17:00:00+02:00,51.16
2025-04-24 18:00:00+02:00,77.63
2025-04-24 19:00:00+02:00,83.4
2025-04-24 20:00:00+02:00,102.35
2025-04-24 21:00:00+02:00,114.48
2025-04-24 22:00:00+02:00,106.53
2025-04-24 23:00:00+02:00,93.1
2025-04-25 00:00:00+02:00,74.24
